Latitude,Longitude,HS,UCL,LCL,Altitud_90m,Altitud_150m,Altitud_300m,Band_9_300m,Band_10_300m,Band_11_150m,Band_11_300m,Costo_mov_300m,Dist_Bosque_90m,Dist_Bosque_150m,Dist_Bosque_300m,Dist_corredor_90m,Dist_Corredor_150m,Dist_Corredor_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.022086522,-75.40999494,4.418666,8.236087,-7.0336,2147.4,2147.283951,2147.1875,0.001975957,293.6708164,291.3704615,290.9866212,5,1881.894672,1885.367568,1892.853249,5020.475417,5018.097711,5018.795733,0.11092559,145.0834426,141.3614774,0
6.02206699,-75.40988996,4.354409,8.165707,-7.079487,2147.517241,2147.64557,2147.408805,0.001980142,293.6369175,291.432514,290.9586643,5,1881.894672,1880.432323,1880.823348,5025.327567,5022.666992,5021.205978,0.11006152,145.1474481,141.4450476,0
6.022018162,-75.40979474,5.226889,8.07792,-7.127576,2148.035714,2148.189873,2147.996835,0.001988547,293.597618,291.4309758,290.9322973,5,1865.327261,1866.54462,1873.548827,5025.965262,5027.815449,5027.121821,0.108139134,144.7323343,141.4516933,0
6.021969334,-75.40969709,5.128071,7.971733,-7.194466,2149.607143,2148.4625,2148.408805,0.001995306,293.5227011,291.3865658,290.8722053,5,1857.59324,1854.550442,1860.40781,5031.986328,5032.360569,5033.10486,0.108248298,144.3397986,141.5513987,0
6.021921727,-75.40960187,5.010918,7.847286,-6.334557,2149.586207,2148.717949,2148.639241,0.002001547,293.5002243,291.3937304,290.8571902,5,1843.924595,1846.454257,1846.257006,5038.123029,5038.943346,5040.120941,0.106414427,144.6130421,141.4410342,0
6.021874119,-75.40950544,5.846908,7.733007,-6.412737,2150.172414,2149.123457,2149.097484,0.001997474,293.4797582,291.3657875,290.8459556,5,1836.770888,1835.908433,1836.963966,5044.966128,5047.387845,5046.534515,0.103916561,145.0233042,142.079937,0
6.021825291,-75.409409,5.709851,7.591186,-6.518825,2150.6,2149.518519,2149.61442,0.002004932,293.4278082,291.3130862,290.8070024,5,1820.710526,1820.614738,1826.452164,5049.311641,5049.634659,5050.004608,0.103294357,144.7610937,142.0679075,0
6.021777684,-75.40931256,5.592324,7.468943,-6.605699,2150.37931,2149.833333,2150.006309,0.002008909,293.3999506,291.3111482,290.7876202,5,1813.466497,1811.790139,1814.017264,5056.954625,5057.002583,5056.079595,0.099633046,144.7624751,142.4333975,0
6.021730076,-75.40921613,6.354257,7.288707,-6.728037,2150.481481,2150.782051,2150.801262,0.002013258,293.3691045,291.2214931,290.7692617,5,1796.248617,1799.590448,1807.728395,5066.322614,5063.134508,5061.50208,0.093863624,145.433918,142.3871389,0
6.021681248,-75.40912091,7.119915,8.050623,-6.840703,2150.206897,2150.925,2151.303797,0.002014221,293.337844,291.1130005,290.7462764,4.983443709,1792.472534,1788.859629,1793.108769,5066.754075,5069.019889,5068.044232,0.093061485,145.7573081,142.5840538,0
6.02163242,-75.40902326,7.852877,7.852877,-6.981365,2149.777778,2152.012821,2152.08254,0.002020191,293.2958484,291.0067401,290.7165253,4.976588629,1780.077611,1778.88895,1782.667795,5076.699463,5075.314089,5073.792974,0.08746828,147.4557312,142.3740711,0
6.021584813,-75.40892804,7.73166,7.73166,-7.048097,2150.064516,2152.556962,2152.669782,0.002022235,293.2505767,290.9328327,290.6823326,4.973154362,1765.102452,1767.00677,1772.640712,5078.811411,5082.375697,5079.243,0.085348186,146.0265214,142.5451586,0
6.021537205,-75.40883161,7.61238,7.61238,-7.115321,2150.137931,2152.9875,2153.244514,0.002029026,293.2082685,290.8479988,290.6503709,4.95049505,1754.030818,1754.522279,1760.184846,5090.792368,5084.746349,5083.320746,0.083342517,145.4848583,142.4742385,0
6.021488377,-75.40873517,7.494915,7.494915,-7.183009,2150.535714,2153.506329,2154.015773,0.00203646,293.1743449,290.7657822,290.6262033,4.939597315,1743.307993,1744.698151,1749.672788,5092.241228,5094.05485,5089.3334,0.077533509,145.8966811,143.0465614,0
6.02144077,-75.40863874,7.360865,7.360865,-7.269426,2151.142857,2154.15,2154.77116,0.002042043,293.119674,290.6762558,290.5851461,4.926421405,1730.074711,1734.511759,1739.902208,5101.70323,5099.247726,5093.342116,0.07556875,145.8972276,142.8702552,0
6.021393162,-75.4085423,7.228531,7.228531,-7.356147,2151.464286,2154.6125,2155.311321,0.002044494,293.0864853,290.6128613,290.5601961,4.91,1722.916526,1723.590253,1728.497253,5103.090224,5105.671004,5101.040137,0.07367157,145.5606589,142.9276009,0
6.021344334,-75.40844709,7.106901,7.106901,-7.434072,2153.035714,2154.670886,2156.047319,0.002053334,293.043312,290.546075,290.526294,4.9,1712.284471,1710.614545,1716.935003,5112.32523,5110.399363,5107.353716,0.069143892,145.9523695,143.3612442,0
6.021295506,-75.40834943,6.986741,6.986741,-7.512333,2154.3125,2155.481013,2156.69375,0.002054357,292.992447,290.4705675,290.4872856,4.886287625,1701.770617,1702.637563,1705.498576,5119.425049,5117.14228,5111.159078,0.067493793,145.8222773,143.568954,0
6.021247899,-75.40825421,6.886046,7.789726,-7.572843,2155,2156.153846,2157.132492,0.002054354,292.9514924,290.406626,290.4549997,4.863787375,1690.666391,1689.438017,1695.65864,5126.650823,5126.054286,5114.453036,0.065555493,145.7656276,144.2443464,0
6.02119785,-75.40816388,6.758537,7.659675,-6.758537,2157.107143,2156.897436,2158.117089,0.002063262,292.881936,290.3180033,290.4006779,4.85472973,1677.561196,1679.872625,1685.672253,5128.206665,5130.879163,5121.906481,0.062753261,147.5255008,144.4125077,0
6.021095311,-75.40819562,11.866855,7.385414,-6.955196,2157.137931,2156.474359,2158.403175,0.00206521,292.8787592,290.3514909,290.3989934,4.855218855,1673.30021,1673.991002,1677.12265,5141.896816,5140.800319,5129.344749,0.062532797,148.213487,144.7350244,1
6.020991551,-75.40822614,12.463354,8.005788,-6.258422,2155.888889,2156.423077,2158.237342,0.002064015,292.8990221,290.3585545,290.4154856,4.865771812,1668.576313,1666.574489,1670.818606,5153.173984,5153.815794,5136.224183,0.062999476,149.0975669,145.3534171,1
6.020889012,-75.40825666,13.446936,7.294743,-6.767412,2155.785714,2155.860759,2158.473186,0.002069489,292.8999502,290.4142286,290.4184105,4.87,1662.409232,1661.030951,1666.449915,5166.71957,5163.80127,5142.159689,0.06259085,150.9296196,145.6184109,1
6.020786473,-75.40828839,12.059552,6.064036,-6.783498,2155.678571,2156.061728,2158.690852,0.002067787,292.8841302,290.4117695,290.4040841,4.870431894,1649.217913,1654.869876,1660.590508,5172.462931,5175.186905,5151.474213,0.064479181,151.4513694,145.7675292,1
